no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
476,55,0.7560072120128247,95,7,supertrend,0,0,0,1,150,300,250,0.1,10,0,16322,1775.0,0.47193971327043255
477,91,1.8933878683381398,87,10,supertrend,0,0,0,1,200,500,200,0.1,10,0,5226,22201.0,0.4376195943360123
478,33,1.8944791674150863,21,24,supertrend,0,0,0,1,250,500,50,0.1,10,0,5470,-3422.0,0.509872029250457
479,77,3.1621013969170684,53,8,supertrend,0,0,0,1,500,450,200,0.1,10,0,2317,-11855.0,0.36167457919723783
480,47,1.5061096484247827,20,12,supertrend,0,0,0,1,150,150,50,0.1,10,0,7560,3933.0,0.46825396825396826
481,76,2.070022021931927,76,11,supertrend,0,0,0,1,400,350,150,0.1,10,0,4622,17315.0,0.4599740372133276
482,59,1.026721802485553,77,8,supertrend,0,0,0,1,500,150,100,0.1,10,0,11664,-3583.0,0.4722222222222222
483,97,3.16080518284587,31,27,supertrend,0,0,0,1,250,300,50,0.1,10,0,2631,-16789.0,0.44963892056252375
484,75,2.6293572465809874,92,33,supertrend,0,0,0,1,300,500,50,0.1,10,0,3443,-7082.0,0.4984025559105431
485,42,2.346344882211761,88,50,supertrend,0,0,0,1,50,450,250,0.1,10,0,3618,-2628.0,0.27390823659480373
486,56,2.1656978386177594,64,14,supertrend,0,0,0,1,150,100,200,0.1,10,0,4460,21822.0,0.4726457399103139
487,37,2.2760039678382897,31,41,supertrend,0,0,0,1,450,250,50,0.1,10,0,3938,-16335.0,0.5292026409344845
488,54,2.776626856736435,24,25,supertrend,0,0,0,1,100,250,250,0.1,10,0,3321,7687.0,0.36675700090334235
489,27,2.6955413392560836,67,11,supertrend,0,0,0,1,350,150,150,0.1,10,0,2954,-13110.0,0.4350033852403521
490,66,1.5317520101775777,14,47,supertrend,0,0,0,1,50,300,100,0.1,10,0,5268,2988.0,0.30334092634776005
491,23,1.0008392015824923,68,35,supertrend,0,0,0,1,200,400,250,0.1,10,0,8095,4935.0,0.5187152563310685
492,87,1.1742692737962273,56,43,supertrend,0,0,0,1,350,350,250,0.1,10,0,6458,-18312.0,0.5278724063177455
493,52,3.024538494662159,20,28,supertrend,0,0,0,1,500,100,150,0.1,10,0,2897,-14881.0,0.48809112875388333
494,91,2.6917228127717383,38,22,supertrend,0,0,0,1,250,150,150,0.1,10,0,3332,8150.0,0.4909963985594238
495,42,2.530509606316576,53,44,supertrend,0,0,0,1,150,450,100,0.1,10,0,3488,5150.0,0.4478211009174312
496,81,0.8251285268889392,76,21,supertrend,0,0,0,1,450,400,50,0.1,10,0,11325,-16987.0,0.5327152317880794
497,71,2.3382093219061133,32,34,supertrend,0,0,0,1,450,200,50,0.1,10,0,3976,-15984.0,0.5088028169014085
498,63,2.732227336374576,27,13,supertrend,0,0,0,1,350,250,150,0.1,10,0,3073,5028.0,0.4328018223234624
499,25,2.5202155076966797,88,20,supertrend,0,0,0,1,100,250,200,0.1,10,0,3760,5810.0,0.3696808510638298
500,49,1.669312918326375,46,4,supertrend,0,0,0,1,50,400,200,0.1,10,0,5156,10913.0,0.24321179208688906
501,58,3.204807451155983,94,18,supertrend,0,0,0,1,150,100,50,0.1,10,0,2461,-852.0,0.43356359203575784
502,62,0.8908531632086569,50,34,supertrend,0,0,0,1,200,400,50,0.1,10,0,8551,-8885.0,0.5184188983744591
503,32,3.3254022113616286,71,23,supertrend,0,0,0,1,300,150,150,0.1,10,0,2389,-8232.0,0.47048974466303894
504,58,1.0455701504743273,83,37,supertrend,0,0,0,1,200,50,250,0.1,10,0,7500,373.0,0.5054666666666666
505,64,0.5436585917576192,76,26,supertrend,0,0,0,1,350,300,50,0.1,10,0,12335,-12462.0,0.5388731252533442
506,26,2.032941451645904,20,9,supertrend,0,0,0,1,150,50,150,0.1,10,0,4574,-7466.0,0.4630520332313074
507,42,0.5632538863197727,50,36,supertrend,0,0,0,1,150,150,150,0.1,10,0,10048,-16912.0,0.5208996815286624
508,96,2.057428649749485,19,23,supertrend,0,0,0,1,50,250,200,0.1,10,0,4870,3271.0,0.2837782340862423
509,90,1.0514056206027096,33,48,supertrend,0,0,0,1,350,300,200,0.1,10,0,6466,-15539.0,0.5341787813176616
510,72,1.0298794724788034,37,45,supertrend,0,0,0,1,300,450,250,0.1,10,0,6784,-13014.0,0.5284492924528302
511,75,3.2245019051711608,58,49,supertrend,0,0,0,1,100,350,150,0.1,10,0,2554,2584.0,0.3457321848081441
512,60,1.3840265383664767,46,50,supertrend,0,0,0,1,300,350,250,0.1,10,0,5404,-27447.0,0.5216506291635825
513,37,0.8537626477044118,37,13,supertrend,0,0,0,1,50,450,100,0.1,10,0,13485,66.0,0.37441601779755285
514,68,0.8793105960835664,40,32,supertrend,0,0,0,1,350,500,50,0.1,10,0,8878,-5329.0,0.5313133588646092
515,65,0.7234850751720132,10,12,supertrend,0,0,0,1,350,450,50,0.1,10,0,15661,-18078.0,0.5059063916735841
516,61,3.412496568456495,27,41,supertrend,0,0,0,1,100,350,250,0.1,10,0,2428,8175.0,0.342668863261944
517,41,0.8128849988075882,66,45,supertrend,0,0,0,1,350,400,50,0.1,10,0,7584,-15007.0,0.5391613924050633
518,33,2.5831798226225025,65,37,supertrend,0,0,0,1,350,500,150,0.1,10,0,3558,-12686.0,0.5123664980326026
519,75,1.1740901427396393,43,43,supertrend,0,0,0,1,500,400,200,0.1,10,0,6482,-11434.0,0.5359456957729096
