no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
1231,36,3.0934944361673677,87,34,supertrend,0,0,0,1,300,300,100,0.1,10,0,267,-1079.0,0.45692883895131087
1232,36,2.284149074209655,65,41,supertrend,0,0,0,1,150,300,150,0.1,10,0,387,-2103.0,0.42377260981912146
1233,20,1.9781721668949683,11,30,supertrend,0,0,0,1,150,350,200,0.1,10,0,513,-1022.0,0.4444444444444444
1234,64,0.5529263246322179,65,12,supertrend,0,0,0,1,200,250,50,0.1,10,0,1807,1559.0,0.5102379634753735
1235,70,1.6948818888813704,43,11,supertrend,0,0,0,1,400,300,150,0.1,10,0,621,2772.0,0.4557165861513688
1236,35,0.6730112317352428,10,21,supertrend,0,0,0,1,150,350,150,0.1,10,0,1263,528.0,0.4908946951702296
1237,18,1.0232237045991759,84,38,supertrend,0,0,0,1,50,50,250,0.1,10,0,753,2390.0,0.38645418326693226
1238,39,2.523116055223858,19,17,supertrend,0,0,0,1,400,250,200,0.1,10,0,341,11474.0,0.5161290322580645
1239,41,0.8451339566383907,68,32,supertrend,0,0,0,1,200,50,200,0.1,10,0,897,1123.0,0.5005574136008919
1240,19,2.7173330308412993,68,43,supertrend,0,0,0,1,350,250,150,0.1,10,0,329,-303.0,0.5319148936170213
1241,67,2.7877065376307666,26,25,supertrend,0,0,0,1,300,350,150,0.1,10,0,306,8268.0,0.49673202614379086
1242,39,1.8477110639783678,78,31,supertrend,0,0,0,1,350,350,50,0.1,10,0,513,-7450.0,0.49317738791423
1243,69,1.6556950926357912,93,21,supertrend,0,0,0,1,300,450,100,0.1,10,0,625,-837.0,0.4992
1244,99,1.9380687292937184,33,19,supertrend,0,0,0,1,450,250,200,0.1,10,0,519,-411.0,0.4913294797687861
1245,33,2.171858045331877,61,45,supertrend,0,0,0,1,50,350,100,0.1,10,0,397,-347.0,0.2518891687657431
1246,34,1.9945620882889308,64,16,supertrend,0,0,0,1,100,250,150,0.1,10,0,483,2597.0,0.3747412008281574
1247,100,2.357093912212555,39,31,supertrend,0,0,0,1,150,500,150,0.1,10,0,383,2628.0,0.40992167101827676
